2022-03-07 20:43:12.099365
-------------------------------------------------------
1: [21, 122, 138, 174, 264, 269, 291, 372, 445, 447, 468, 472, 474, 505, 567, 596, 623, 680, 728, 739, 743, 908, 948, 952, 993]
1: [21, 122, 138, 174, 264, 269, 291, 372, 445, 447, 468, 472, 474, 505, 567, 596, 623, 680, 728, 739, 743, 908, 948, 952, 993]
1: [21, 122, 138, 174, 264, 269, 291, 372, 445, 447, 468, 472, 474, 505, 567, 596, 623, 680, 728, 739, 743, 908, 948, 952, 993]
1: [14, 22, 27, 29, 96, 97, 172, 173, 297, 314, 365, 382, 418, 441, 521, 581, 644, 668, 715, 734, 779, 809, 844, 912, 947]
1: [472, 474, 505, 521, 567, 581, 596, 623, 644, 668, 680, 715, 728, 734, 739, 743, 779, 809, 844, 908, 912, 947, 948, 952, 993]
1: [472, 474, 505, 521, 567, 581, 596, 623, 644, 668, 680, 715, 728, 734, 739, 743, 779, 809, 844, 908, 912, 947, 948, 952, 993]
1: [472, 474, 505, 521, 567, 581, 596, 623, 644, 668, 680, 715, 728, 734, 739, 743, 779, 809, 844, 908, 912, 947, 948, 952, 993]
1: [472, 474, 505, 521, 567, 581, 596, 623, 644, 668, 680, 715, 728, 734, 739, 743, 779, 809, 844, 908, 912, 947, 948, 952, 993]
1: [21, 122, 138, 174, 264, 269, 291, 372, 445, 447, 468, 472, 474, 505, 567, 596, 623, 680, 728, 739, 743, 908, 948, 952, 993]
1: [472, 474, 505, 521, 567, 581, 596, 623, 644, 668, 680, 715, 728, 734, 739, 743, 779, 809, 844, 908, 912, 947, 948, 952, 993]
1: [472, 474, 505, 521, 567, 581, 596, 623, 644, 668, 680, 715, 728, 734, 739, 743, 779, 809, 844, 908, 912, 947, 948, 952, 993]
2: [21, 122, 138, 174, 264, 269, 291, 372, 445, 447, 468, 472, 474, 505, 567, 596, 623, 680, 728, 739, 743, 908, 948, 952, 993]
2: [0, 18, 63, 199, 259, 340, 341, 366, 371, 426, 454, 533, 584, 597, 601, 676, 738, 776, 788, 806, 839, 884, 911, 947, 974]
2: [0, 18, 63, 199, 259, 340, 341, 366, 371, 426, 454, 533, 584, 597, 601, 676, 738, 776, 788, 806, 839, 884, 911, 947, 974]
2: [21, 122, 138, 174, 264, 269, 291, 372, 445, 447, 468, 472, 474, 505, 567, 596, 623, 680, 728, 739, 743, 908, 948, 952, 993]
2: [533, 567, 584, 596, 597, 601, 623, 676, 680, 728, 738, 739, 743, 776, 788, 806, 839, 884, 908, 911, 947, 948, 952, 974, 993]
2: [0, 18, 63, 199, 259, 340, 341, 366, 371, 426, 454, 533, 584, 597, 601, 676, 738, 776, 788, 806, 839, 884, 911, 947, 974]
2: [0, 18, 63, 199, 259, 340, 341, 366, 371, 426, 454, 533, 584, 597, 601, 676, 738, 776, 788, 806, 839, 884, 911, 947, 974]
2: [668, 676, 680, 715, 728, 734, 738, 739, 743, 776, 779, 788, 806, 809, 839, 844, 884, 908, 911, 912, 947, 948, 952, 974, 993]
2: [533, 567, 584, 596, 597, 601, 623, 676, 680, 728, 738, 739, 743, 776, 788, 806, 839, 884, 908, 911, 947, 948, 952, 974, 993]
2: [0, 18, 63, 199, 259, 340, 341, 366, 371, 426, 454, 533, 584, 597, 601, 676, 738, 776, 788, 806, 839, 884, 911, 947, 974]
2: [668, 676, 680, 715, 728, 734, 738, 739, 743, 776, 779, 788, 806, 809, 839, 844, 884, 908, 911, 912, 947, 948, 952, 974, 993]
2: [668, 676, 680, 715, 728, 734, 738, 739, 743, 776, 779, 788, 806, 809, 839, 844, 884, 908, 911, 912, 947, 948, 952, 974, 993]
3: [0, 18, 63, 199, 259, 340, 341, 366, 371, 426, 454, 533, 584, 597, 601, 676, 738, 776, 788, 806, 839, 884, 911, 947, 974]
3: [0, 18, 63, 199, 259, 340, 341, 366, 371, 426, 454, 533, 584, 597, 601, 676, 738, 776, 788, 806, 839, 884, 911, 947, 974]
3: [454, 521, 533, 581, 584, 597, 601, 644, 668, 676, 715, 734, 738, 776, 779, 788, 806, 809, 839, 844, 884, 911, 912, 947, 974]
3: [454, 521, 533, 581, 584, 597, 601, 644, 668, 676, 715, 734, 738, 776, 779, 788, 806, 809, 839, 844, 884, 911, 912, 947, 974]
3: [668, 676, 680, 715, 728, 734, 738, 739, 743, 776, 779, 788, 806, 809, 839, 844, 884, 908, 911, 912, 947, 948, 952, 974, 993]
3: [668, 676, 680, 715, 728, 734, 738, 739, 743, 776, 779, 788, 806, 809, 839, 844, 884, 908, 911, 912, 947, 948, 952, 974, 993]

Program End Time: 2022-03-07 20:44:46.439463
